ticker,sector,source,sections_found,call_date,event_date,ew_risk_score,hedge_density,neg_sentiment,backward_ratio,sentiment_trajectory,actual_1d,actual_3d,actual_5d,signal,correct_1d,correct_3d,correct_5d
MCD,Consumer,motleyfool,True,2024-10-29,2024-10-29,28.5,0.5566,0.069,0.36,0.2177,-0.006031,-0.015769,-0.013275,NEUTRAL,,,
MCD,Consumer,edgar,False,2025-05-01,2025-05-01,68.04,0.9866,0.2727,0.7955,0.0886,-0.018802,-0.012295,-0.004755,NEGATIVE,True,True,True
MCD,Consumer,edgar,False,2025-08-06,2025-08-06,35.5,0.8442,0.0465,0.6444,0.2882,0.029755,0.022358,0.009606,NEUTRAL,,,
MCD,Consumer,edgar,False,2025-11-05,2025-11-05,39.68,0.7682,0.0698,0.6889,0.268,0.02159,0.001504,0.025467,NEUTRAL,,,
MCD,Consumer,edgar,False,2026-02-10,2026-02-10,25.0,0.0,0.0,1.0,-0.4697,0.001136,0.019902,0.006204,NEUTRAL,,,
MCD,Consumer,edgar,False,2026-02-11,2026-02-11,32.8,0.6162,0.0377,0.7193,0.4,-0.008467,0.004939,0.00589,NEUTRAL,,,
MDT,Healthcare,edgar,False,2025-02-18,2025-02-18,54.64,1.1456,0.1681,0.398,0.2777,-0.072621,-0.052473,-0.028445,NEGATIVE,True,True,True
MDT,Healthcare,edgar,False,2025-05-21,2025-05-21,50.95,0.9404,0.1494,0.4906,0.3801,-0.022693,-0.065879,-0.059396,NEGATIVE,True,True,True
MDT,Healthcare,edgar,False,2025-06-23,2025-06-23,19.78,0.8584,0.0,0.3333,0.1122,-0.004401,-0.004285,0.00457,POSITIVE,False,False,True
MDT,Healthcare,edgar,False,2025-08-19,2025-08-19,60.03,1.6844,0.1609,0.3766,0.2527,-0.031354,-0.018425,-0.008297,NEGATIVE,True,True,True
MDT,Healthcare,edgar,False,2025-11-18,2025-11-18,53.4,1.454,0.1509,0.3043,0.2706,0.046946,0.031886,0.071874,NEGATIVE,False,False,False
MDT,Healthcare,edgar,False,2026-02-17,2026-02-17,60.64,1.5267,0.1869,0.303,0.2347,-0.030958,-0.019198,-0.008845,NEGATIVE,True,True,True
META,Technology,edgar,False,2025-04-11,2025-04-11,3.57,0.0,0.0,0.1429,0.1907,-0.004979,-0.045342,-0.082026,POSITIVE,False,False,False
META,Technology,edgar,False,2025-04-30,2025-04-30,52.29,1.6519,0.1,0.5106,0.2353,-0.009812,0.076798,0.059285,NEGATIVE,True,False,False
META,Technology,edgar,False,2025-07-30,2025-07-30,49.88,1.6641,0.1061,0.3651,0.293,-0.006843,0.071443,0.090657,NEGATIVE,True,False,False
META,Technology,edgar,False,2025-10-29,2025-10-29,50.01,1.4815,0.1154,0.4026,0.3401,0.000306,-0.13719,-0.165176,NEGATIVE,False,True,True
META,Technology,edgar,False,2025-12-12,2025-12-12,33.05,0.5366,0.0204,0.8929,0.0194,-0.012992,0.007624,0.018817,NEUTRAL,,,
META,Technology,edgar,False,2026-01-28,2026-01-28,46.53,1.5057,0.0769,0.52,0.251,-0.0063,0.064683,0.027832,NEUTRAL,,,
MPC,Energy,edgar,False,2025-05-06,2025-05-06,31.3,0.7019,0.0893,0.2524,0.2246,0.008512,0.046327,0.103328,NEUTRAL,,,
MPC,Energy,edgar,False,2025-08-05,2025-08-05,28.43,0.7078,0.064,0.3119,0.2233,0.005716,-0.038402,-0.055787,NEUTRAL,,,
MPC,Energy,edgar,False,2025-11-04,2025-11-04,12.98,0.5988,0.0,0.2,0.1488,-0.061341,-0.01568,0.002911,POSITIVE,False,False,True
MPC,Energy,edgar,False,2025-12-18,2025-12-18,9.8,0.0,0.0417,0.1,0.1952,-0.036619,-0.055759,-0.050258,POSITIVE,False,False,False
MPC,Energy,edgar,False,2026-02-03,2026-02-03,29.87,0.5432,0.0878,0.2906,0.2026,0.060313,0.106947,0.154598,NEUTRAL,,,
MRK,Healthcare,edgar,False,2024-11-22,2024-11-22,26.93,0.9259,0.0476,0.25,0.0494,-0.00681,0.017625,0.017825,NEUTRAL,,,
MRK,Healthcare,edgar,False,2025-02-04,2025-02-04,57.92,0.3687,0.2333,0.7203,0.1747,-0.09069,-0.117647,-0.134182,NEGATIVE,True,True,True
MRK,Healthcare,edgar,False,2025-04-24,2025-04-24,53.11,0.342,0.1739,0.7246,0.1351,0.01397,0.056515,0.082042,NEGATIVE,False,False,False
MRK,Healthcare,edgar,False,2025-07-29,2025-07-29,48.33,0.234,0.1617,0.6765,0.0277,-0.017012,-0.070664,-0.049964,NEUTRAL,,,
MRK,Healthcare,edgar,False,2025-10-30,2025-10-30,54.76,0.2051,0.1938,0.7246,0.0455,-0.003465,-0.04724,-0.025295,NEGATIVE,True,True,True
MRK,Healthcare,edgar,False,2026-02-03,2026-02-03,53.07,0.3766,0.1809,0.6557,0.0777,0.021787,0.056276,0.037752,NEGATIVE,False,False,False
MS,Financials,edgar,False,2025-06-16,2025-06-16,8.33,0.0,0.0,0.3333,-0.3019,0.010889,0.023399,0.034829,POSITIVE,True,True,True
MS,Financials,edgar,False,2025-07-01,2025-07-01,12.23,0.4484,0.0,0.25,0.7066,0.001491,0.023285,0.001917,POSITIVE,True,True,True
MS,Financials,edgar,False,2025-07-16,2025-07-16,36.56,0.0672,0.098,0.7407,0.5989,-0.012713,-0.005368,-0.010947,NEUTRAL,,,
MS,Financials,edgar,False,2025-09-30,2025-09-30,28.34,0.0,0.0667,0.6667,0.4551,-0.013651,-0.036361,-0.019049,NEUTRAL,,,
MS,Financials,edgar,False,2025-10-15,2025-10-15,38.27,0.0,0.1176,0.7077,0.5744,0.047058,0.021437,0.025042,NEUTRAL,,,
MS,Financials,edgar,False,2026-01-15,2026-01-15,51.25,0.0544,0.1825,0.7436,0.4116,0.057805,0.007302,0.012557,NEGATIVE,False,False,False
MSFT,Technology,edgar,False,2024-12-03,2024-12-03,34.95,0.2629,0.1018,0.545,0.314,0.00051,0.027008,0.034897,NEUTRAL,,,
MSFT,Technology,edgar,False,2025-01-29,2025-01-29,27.57,0.3932,0.037,0.6341,0.2196,-0.01089,-0.071869,-0.077885,NEUTRAL,,,
